x	ch1x	ch3x	ch5y	ch7y
+2.1100000e+1	+0.8512887e+1	+0.9801407e+1	-1.5263926e+1	-5.3080945e+0
+2.1200000e+1	+4.1863008e+0	+1.4521378e+1	-1.6837154e+1	+3.7382658e+0
+2.1300000e+1	+0.9496207e+1	+1.3538047e+1	-1.4280655e+1	-4.7181201e+0
+2.1400000e+1	+5.5629377e+0	+1.1374725e+1	-1.8803682e+1	-7.4713287e+0
+2.1500000e+1	+6.5462518e+0	+1.0391400e+1	-1.7427114e+1	-5.5047526e+0
+2.1600000e+1	+5.1696124e+0	+1.1374725e+1	-1.5853887e+1	-2.5548730e+0
+2.1700000e+1	+6.7429152e+0	+0.9211414e+1	-1.5460580e+1	-2.7515323e+0
+2.1800000e+1	+0.8512887e+1	+0.9408078e+1	-1.2904073e+1	-4.5214615e+0
+2.1900000e+1	+1.1069525e+1	+0.9801407e+1	-1.5853887e+1	-3.1448505e+0
+2.2000000e+1	+7.7262321e+0	+7.8347669e+0	-1.8607031e+1	-2.3582137e+0
+2.2100000e+1	+0.8512887e+1	+1.1571390e+1	-1.8607031e+1	-3.9314859e+0
+2.2200000e+1	+7.3329048e+0	+1.2751383e+1	-1.5657233e+1	+0.9850072e+0
+2.2300000e+1	+5.7596002e+0	+1.2751383e+1	-1.9000336e+1	-0.7849362e+0
+2.2400000e+1	+0.9889536e+1	+1.0391400e+1	-1.6640501e+1	-2.5548730e+0
+2.2500000e+1	+0.8119559e+1	+1.3341380e+1	-1.7230461e+1	+0.5916858e+0
+2.2600000e+1	+0.9496207e+1	+1.2948049e+1	-1.5460580e+1	+1.7716509e+0
+2.2700000e+1	+0.9102879e+1	+1.0391400e+1	-1.4870618e+1	-3.9314859e+0
+2.2800000e+1	+0.8316223e+1	+0.9408078e+1	-1.6247194e+1	-4.1281443e+0
+2.2900000e+1	+7.5295682e+0	+0.9014750e+1	-1.3297382e+1	-0.3916160e+0
+2.3000000e+1	+0.9496207e+1	+1.2948049e+1	-1.7033808e+1	-3.9314859e+0
+2.3100000e+1	+5.5629377e+0	+1.0391400e+1	-1.7427114e+1	-1.3749160e+0
+2.3200000e+1	+7.7262321e+0	+1.2751383e+1	-1.6443848e+1	-5.7014108e+0
+2.3300000e+1	+1.1266190e+1	+1.0981396e+1	-1.7820419e+1	-5.1114364e+0
+2.3400000e+1	+0.8316223e+1	+1.0981396e+1	-1.6247194e+1	+0.1983648e+0
+2.3500000e+1	+6.3495889e+0	+1.1571390e+1	-1.4477309e+1	-3.5381682e+0
+2.3600000e+1	+6.7429152e+0	+1.0981396e+1	-1.8803682e+1	-2.7515323e+0
+2.3700000e+1	+6.7429152e+0	+0.9211414e+1	-1.7033808e+1	-5.5047526e+0
+2.3800000e+1	+1.1266190e+1	+1.3144714e+1	-1.8607031e+1	-2.3582137e+0
+2.3900000e+1	+1.1856185e+1	+1.4128045e+1	-2.0966854e+1	-0.1949558e+0
+2.4000000e+1	+1.2052851e+1	+1.1374725e+1	-2.4703218e+1	+3.5416040e+0
+2.4100000e+1	+1.0676195e+1	+1.9831402e+1	-2.8832850e+1	-1.9648948e+0
+2.4200000e+1	+1.4216175e+1	+1.9241396e+1	-2.9422794e+1	-6.4880419e+0
+2.4300000e+1	+1.7559515e+1	+2.4354803e+1	-3.2175858e+1	-2.7515323e+0
+2.4400000e+1	+1.9919533e+1	+2.2388102e+1	-3.1389271e+1	-0.8257957e+1
+2.4500000e+1	+1.8542854e+1	+2.5534828e+1	-3.3355740e+1	-1.7682352e+0
+2.4600000e+1	+1.7952850e+1	+2.6714855e+1	-3.6108780e+1	-4.7181201e+0
+2.4700000e+1	+1.5396174e+1	+2.5928169e+1	-3.0209385e+1	-3.5381682e+0
+2.4800000e+1	+1.2642847e+1	+2.9664938e+1	-3.3552383e+1	-2.5548730e+0
+2.4900000e+1	+1.9329527e+1	+2.5731499e+1	-3.0012737e+1	-1.5715756e+0
+2.5000000e+1	+1.7362846e+1	+2.6714855e+1	-3.3159092e+1	-6.6846995e+0
+2.5100000e+1	+1.7756182e+1	+2.7304871e+1	-3.2765797e+1	-5.7014108e+0
+2.5200000e+1	+1.7559515e+1	+2.6714855e+1	-3.2372505e+1	-4.3248029e+0
+2.5300000e+1	+1.8346186e+1	+2.5141485e+1	-3.0799328e+1	-5.3080945e+0
